frame,time,mug_axial_phase_rad,mug_axial_phase_deg,vlm_visibility,vlm_hand_contact_part,vlm_handle_contact,visibility_alpha
1,0.0,0.03158302527570589,1.8095740525529507,visible,handle,True,1.0
2,0.041666666666666664,0.024307828217524197,1.3927359659931473,visible,handle,True,1.0
3,0.08333333333333333,0.015083164212145839,0.864201651058722,visible,handle,True,1.0
4,0.125,0.0036138604771274174,0.207058953088535,visible,handle,True,1.0
5,0.16666666666666666,-0.010845036543005282,-0.6213748225793512,visible,handle,True,1.0
6,0.20833333333333334,-0.023746822676486534,-1.3605927162082359,visible,handle,True,1.0
7,0.25,-0.036600124547828905,-2.0970326662437566,visible,handle,True,1.0
8,0.2916666666666667,-0.04288066654829237,-2.4568812159249642,visible,handle,True,1.0
9,0.3333333333333333,-0.04434137002773575,-2.5405733604171443,visible,handle,True,1.0
10,0.375,-0.04289113077374296,-2.4574807718791565,visible,handle,True,1.0
11,0.4166666666666667,-0.03807367954276408,-2.181461148333964,visible,handle,True,1.0
12,0.4583333333333333,-0.031059254877092712,-1.7795642192785308,visible,handle,True,1.0
13,0.5,-0.02542275287588458,-1.4566164433922624,visible,handle,True,1.0
14,0.5416666666666666,-0.022601141933899616,-1.2949500449885913,visible,handle,True,1.0
15,0.5833333333333334,-0.021557758955161432,-1.2351686038911054,visible,handle,True,1.0
16,0.625,-0.01888359075076007,-1.0819500520708296,visible,handle,True,1.0
17,0.6666666666666666,-0.014391413669225361,-0.8245672644734954,visible,handle,True,1.0
18,0.7083333333333334,-0.006076777710060544,-0.3481737158256422,visible,handle,True,1.0
19,0.75,0.008902266269788406,0.5100622853605463,visible,handle,True,1.0
20,0.7916666666666666,0.03249133039998808,1.861616102684426,visible,handle,True,1.0
21,0.8333333333333334,0.05910114359495244,3.3862460923874127,visible,handle,True,1.0
22,0.875,0.07792371476104032,4.464699979788884,visible,handle,True,0.8333333333333334
23,0.9166666666666666,0.072715552989433,4.166294291254407,visible,handle,True,0.6666666666666666
24,0.9583333333333334,0.02939686405836639,1.684316241464215,visible,handle,True,0.5
25,1.0,-0.05862369767748943,-3.3588904563710305,visible,handle,True,0.3333333333333333
26,1.0416666666666667,-0.1785257718438693,-10.228773260969175,visible,handle,True,0.16666666666666666
27,1.0833333333333333,-0.31453202877103825,-18.021357770267873,hidden,body,False,0.2916666666666667
28,1.125,-0.4513375929269965,-25.859739210310494,hidden,body,False,0.2333333333333333
29,1.1666666666666667,-0.5818827284930452,-33.33942451420827,hidden,body,False,0.175
30,1.2083333333333333,-0.7070746231682898,-40.51239170834611,hidden,body,False,0.11666666666666665
31,1.25,-0.8192985998021731,-46.942351929642385,hidden,body,False,0.05833333333333333
32,1.2916666666666667,-0.9266749112297226,-53.09456139412332,hidden,body,False,0.0
33,1.3333333333333333,-1.0383809697853952,-59.4948470954046,hidden,body,False,0.0
34,1.375,-1.1558849347236535,-66.22732836242001,hidden,body,False,0.0
35,1.4166666666666667,-1.2891918904990376,-73.86525430808663,hidden,body,False,0.0
36,1.4583333333333333,-1.4351990185558026,-82.23084652456541,hidden,body,False,0.0
37,1.5,-1.6250054905133038,-93.10595629199844,hidden,body,False,0.0
38,1.5416666666666667,-1.8831261778806965,-107.89518228316582,hidden,body,False,0.05833333333333333
39,1.5833333333333333,-2.2366018637312077,-128.14784724289228,hidden,body,False,0.11666666666666665
40,1.625,-2.670468933122986,-153.00659918875078,hidden,body,False,0.175
41,1.6666666666666667,3.1241910219211295,179.00295994874438,hidden,body,False,0.2333333333333333
42,1.7083333333333333,2.6992983587037775,154.65840360031663,hidden,body,False,0.2916666666666667
43,1.75,2.4327817828526275,139.38812863376745,visible,handle,True,0.16666666666666666
44,1.7916666666666667,2.3079599318768294,132.23636338184332,visible,handle,True,0.3333333333333333
45,1.8333333333333333,2.3202458423097454,132.94029419712516,visible,handle,True,0.16666666666666666
46,1.875,2.3948705734862736,137.21597634083855,hidden,body,False,0.2916666666666667
47,1.9166666666666667,2.4923497893962194,142.80112400272296,hidden,body,False,0.2916666666666667
