query_id,case_name,stage,frame,start_frame,end_frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy,evidence_sha256,visual_factor_roles,contact_factor_roles,candidate_a_role,candidate_b_role,semantic_predicate,subject_entity,object_entity
stage2:contact_relation_check:00001-00001,volleyball,stage2,1,1,1,0.000000,contact_relation_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00001_contact_relation_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00001_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|no_contact|body|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,70beab9eaaf74257d1bf6d32ee5f5e1bb38cf62594f3cba7ae60ee953a01de93,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:contact_relation_check:00068-00068,volleyball,stage2,68,68,68,2.791667,contact_relation_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00068_contact_relation_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00068_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|no_contact|body|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,f07876c7bd68ac3e4ada2390a6e91f9615a08d1027971f44087d4a1633f0c3eb,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:contact_relation_check:00228-00228,volleyball,stage2,228,228,228,9.458333,contact_relation_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00228_contact_relation_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00228_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|no_contact|body|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,7a5844c86a9162cc19db5733b8381ac34ca54f0e300ddb1861c2474af38aefc9,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:contact_relation_check:00121-00121,volleyball,stage2,121,121,121,5.000000,contact_relation_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_contact_relation_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|no_contact|body|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,37fe5cacf7e943faf60287f8bccdb7b945bd30dec909a956a9474a03b90613f3,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:contact_relation_check:00240-00240,volleyball,stage2,240,240,240,9.958333,contact_relation_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00240_contact_relation_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00240_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|no_contact|body|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,62d48287d9a31d287934423e6ebf9f622b2972cb5a44c2192b3b11ea79e720ee,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00001-00001,volleyball,stage2,1,1,1,0.000000,keypart_visibility_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00001_keypart_visibility_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00001_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single yellow and blue volleyball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,70beab9eaaf74257d1bf6d32ee5f5e1bb38cf62594f3cba7ae60ee953a01de93,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00068-00068,volleyball,stage2,68,68,68,2.791667,keypart_visibility_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00068_keypart_visibility_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00068_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single yellow and blue volleyball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,f07876c7bd68ac3e4ada2390a6e91f9615a08d1027971f44087d4a1633f0c3eb,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00228-00228,volleyball,stage2,228,228,228,9.458333,keypart_visibility_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00228_keypart_visibility_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00228_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single yellow and blue volleyball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,7a5844c86a9162cc19db5733b8381ac34ca54f0e300ddb1861c2474af38aefc9,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00121-00121,volleyball,stage2,121,121,121,5.000000,keypart_visibility_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_keypart_visibility_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00121_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single yellow and blue volleyball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,37fe5cacf7e943faf60287f8bccdb7b945bd30dec909a956a9474a03b90613f3,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage2:keypart_visibility_check:00240-00240,volleyball,stage2,240,240,240,9.958333,keypart_visibility_check,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00240_keypart_visibility_check.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/vlm/stage2/evidence/frame00240_keypart_visibility_check.png,before_missing_after_visibility_strip,"Across the BEFORE, MISSING, and AFTER panels, what happened to the same single yellow and blue volleyball during the missing interval? Choose out_of_frame when its physically continuous path crosses beyond the image boundary; choose occluded_by_human only when the person blocks it; choose detection_failure when it should remain visible inside the image but the mask is absent.",visible|partially_visible|out_of_frame|occluded_by_human|detection_failure|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|no_contact|body|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,62d48287d9a31d287934423e6ebf9f622b2972cb5a44c2192b3b11ea79e720ee,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
