case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
volleyball,stage4,1,0.000000,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,62,2.541667,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,222,9.208333,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,119,4.916667,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,240,9.958333,anchor_update_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_anchor_update_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_anchor_update_check.png,before_after_anchor_update_overlay,"Using the visual guide in the image: brown render is the predicted stick, green line is the tracked visible stick, yellow circles are active palm contacts, and gray circles are inactive palms. Does the predicted stick preserve alignment with the green visible stick and the active yellow palm contacts without creating a wrong contact?",improvement|no_change|worse_overlay|wrong_contact|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,1,0.000000,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,62,2.541667,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,222,9.208333,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,119,4.916667,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,240,9.958333,contact_relation_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_contact_relation_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_contact_relation_check.png,contact_candidate_overlay,What is the highlighted object contact region closest to?,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
