frame,refined_frame,time,refined_time,evidence,audio_support,fused_event_type,interaction_mode,contact_quality,contact_target,target_entity,vlm_relevant,vlm_interaction,vlm_impact,vlm_entities,vlm_confidence,manip_gamma,manip_weight,promote_anchor,vlm_description,window_png
3,3,0.08,0.03,audio,0.045,tap,impulsive,soft,part,left_hand,0,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,kick,results/audio_semantics/vlm_windows/event_0003.png
43,43,1.744,1.7384,audio,1.0,strike,impulsive,hard,part,left_hand,1,strike,medium,left_foot|soccer_ball,0.8,1.0,1.0,1,"The player kicks the soccer ball, causing it to move across the field.",results/audio_semantics/vlm_windows/event_0043.png
54,54,2.224,2.1367,audio,0.045,tap,impulsive,soft,part,right_foot,0,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,kick,results/audio_semantics/vlm_windows/event_0054.png
71,71,2.924,2.9201,audio,1.0,strike,impulsive,hard,part,left_hand,1,strike,medium,left_foot|soccer ball,0.8,1.0,1.0,1,"The player is kicking the soccer ball, which is in motion, resulting in a medium",results/audio_semantics/vlm_windows/event_0071.png
77,77,3.168,3.1251,audio,0.062,tap,impulsive,soft,part,left_hand,0,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0077.png
84,84,3.456,3.4467,audio,0.401,strike,impulsive,hard,part,left_foot,1,strike,medium,left_foot|soccer ball,0.8,1.0,1.0,1,The player kicks the soccer ball with their left foot.,results/audio_semantics/vlm_windows/event_0084.png
90,90,3.696,3.6567,audio,0.076,tap,impulsive,soft,part,left_foot,0,tap,medium,left_foot|soccer ball,0.8,1.0,0.5,0,The player kicks the soccer ball with their left foot.,results/audio_semantics/vlm_windows/event_0090.png
95,95,3.936,4.0751,audio,0.496,strike,impulsive,hard,part,left_hand,1,strike,medium,left_foot|soccer ball,0.8,1.0,1.0,1,kick,results/audio_semantics/vlm_windows/event_0095.png
99,99,4.088,4.0767,audio,0.522,strike,impulsive,hard,part,right_foot,1,strike,medium,left_foot|soccer_ball,0.8,1.0,1.0,1,kick,results/audio_semantics/vlm_windows/event_0099.png
105,105,4.352,4.3167,audio,0.069,tap,impulsive,soft,part,left_hand,0,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,The player kicks the soccer ball with their left foot.,results/audio_semantics/vlm_windows/event_0105.png
117,117,4.84,4.8317,audio,0.439,strike,impulsive,hard,part,right_hand,1,strike,medium,left_foot|soccer ball,0.8,1.0,1.0,1,The player kicks the soccer ball with their left foot.,results/audio_semantics/vlm_windows/event_0117.png
125,125,5.168,5.2301,audio,0.053,tap,impulsive,soft,part,right_foot,0,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,"The player kicks the soccer ball with their left foot, causing it to move across",results/audio_semantics/vlm_windows/event_0125.png
133,133,5.504,5.4934,audio,0.436,strike,impulsive,hard,part,right_hand,1,strike,medium,left_foot|soccer ball,0.8,1.0,1.0,1,The player kicks the soccer ball with their left foot.,results/audio_semantics/vlm_windows/event_0133.png
142,142,5.872,5.8534,audio,0.424,strike,impulsive,hard,part,left_foot,1,strike,medium,left_foot|soccer_ball,0.8,1.0,1.0,1,kick,results/audio_semantics/vlm_windows/event_0142.png
151,151,6.256,6.3834,audio,0.079,tap,impulsive,soft,part,left_foot,1,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,kick,results/audio_semantics/vlm_windows/event_0151.png
164,164,6.784,6.7751,audio,0.954,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,"The player kicks the soccer ball with their left foot, causing it to move across",results/audio_semantics/vlm_windows/event_0164.png
173,173,7.184,7.1451,audio,0.119,tap,impulsive,soft,part,left_hand,1,tap,medium,left_foot|soccer_ball,0.8,1.0,0.5,0,kick,results/audio_semantics/vlm_windows/event_0173.png
