case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,used_for_anchor_update,used_for_contact_residual,used_for_report
volleyball,stage1,1,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
volleyball,stage1,121,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
volleyball,stage1,240,keypart_identity_check,ball_center,pass,accept_candidate,1,0,1
volleyball,stage1,1,track_stability_check,stable,pass,accept_candidate,1,0,1
volleyball,stage1,121,track_stability_check,stable,pass,accept_candidate,1,0,1
volleyball,stage1,240,track_stability_check,stable,pass,accept_candidate,1,0,1
volleyball,stage1,22,keypart_visibility_check,out_of_frame,pass,propagate_projected_ballistic_trajectory,0,0,1
volleyball,stage1,79,keypart_visibility_check,out_of_frame,pass,propagate_projected_ballistic_trajectory,0,0,1
volleyball,stage1,142,keypart_visibility_check,detection_failure,reject,keep_previous_anchor,0,0,1
volleyball,stage1,161,keypart_visibility_check,out_of_frame,pass,propagate_projected_ballistic_trajectory,0,0,1
