case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,allow_anchor_update,allow_contact_residual,allow_pose_refine,allow_factor_arbitration,report_only,is_effective
volleyball,stage4,1,anchor_update_check,no_change,pass,accept_candidate,1,0,1,0,0,1
volleyball,stage4,2,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,11,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,14,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,34,contact_relation_check,both_hands,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,50,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,66,contact_relation_check,both_hands,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,95,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,115,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,131,contact_relation_check,both_hands,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,186,contact_relation_check,left_hand,pass,accept_candidate,0,1,1,0,0,1
volleyball,stage4,1,overlay_alignment_check,aligned,pass,accept_candidate,0,0,1,0,0,1
volleyball,stage4,1,temporal_motion_check,unclear,unclear,unclear_no_update,0,0,0,0,0,1
volleyball,stage4,15,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,31,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,52,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,63,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,97,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,114,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,130,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,162,constraint_reliability_check,unclear,unclear,unclear_no_update,0,0,0,1,0,1
volleyball,stage4,185,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,202,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,222,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
volleyball,stage4,228,constraint_reliability_check,both_consistent,pass,accept_candidate,0,0,1,1,0,1
