frame,time,contact_u,contact_v,contact_source,contact_conf,contact_proxy_depth_m,object_ref_depth_m,contact_depth_offset_m,camera_x,camera_y,camera_z,mug_local_x,mug_local_y,mug_local_z,nearest_articraft_part,semantic_contact_part,nearest_vertex_index,nearest_vertex_dist_m_canonical,nearest_vertex_local_x,nearest_vertex_local_y,nearest_vertex_local_z,active_label,active_label_conf,active_part_u,active_part_v,handle_contact_selection,object_contact_event,hand_mug_contact_state,use_this_point_for_hand_attachment,use_previous_grasp_for_hand_attachment,rim_drinking_contact,hand_contact_u,hand_contact_v,hand_to_object_contact_px,hand_contact_3d_gap_m,hand_object_z_gap_m,hand_depth_alignment_needed,hand_contact_reason,vlm_visibility,vlm_visible_side,vlm_occlusion_reason,vlm_hand_contact_part,vlm_handle_contact,vlm_body_contact,vlm_rim_contact,vlm_constraint,vlm_confidence
1,0.000000,620.302,335.325,articraft_handle_mesh_nearest_active_hand,0.577625,3.991861,3.975267,0.016594,-0.053543,-0.067070,3.991861,-0.088365,-0.020334,-0.003628,handle_loop,handle_loop,388,0.000000,-0.088365,-0.020334,-0.003628,left_hand,0.577625,605.141,331.234,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,620.302,335.325,15.703,0.067838,-0.053911,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
2,0.041667,620.342,336.893,articraft_handle_mesh_nearest_active_hand,0.542703,3.983205,3.945346,0.037859,-0.053318,-0.062671,3.983205,-0.086683,-0.023844,-0.003628,handle_loop,handle_loop,366,0.000000,-0.086683,-0.023844,-0.003628,left_hand,0.542703,605.556,332.416,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,620.342,336.893,15.449,0.060142,-0.044308,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
3,0.083333,620.894,340.931,articraft_handle_mesh_nearest_active_hand,0.535812,3.972157,4.028830,-0.056673,-0.051676,-0.051576,3.972157,-0.086683,-0.023844,-0.003628,handle_loop,handle_loop,366,0.000000,-0.086683,-0.023844,-0.003628,left_hand,0.535812,606.048,334.570,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,620.894,340.931,16.151,0.052241,-0.029888,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
4,0.125000,621.191,342.677,articraft_handle_mesh_nearest_active_hand,0.542396,3.951665,3.999371,-0.047706,-0.050610,-0.046611,3.951665,-0.084620,-0.027135,-0.003628,handle_loop,handle_loop,344,0.000000,-0.084620,-0.027135,-0.003628,left_hand,0.542396,606.550,337.011,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,621.191,342.677,15.699,0.042341,-0.004230,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
5,0.166667,621.015,346.663,articraft_handle_mesh_nearest_active_hand,0.541281,3.926739,3.926271,0.000468,-0.050761,-0.035660,3.926739,-0.085350,-0.027652,-0.002595,handle_loop,handle_loop,343,0.000000,-0.085350,-0.027652,-0.002595,left_hand,0.541281,607.451,339.423,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,621.015,346.663,15.376,0.049514,0.026532,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
6,0.208333,622.411,348.746,articraft_handle_mesh_nearest_active_hand,0.550763,3.891795,3.788032,0.103763,-0.046611,-0.029824,3.891795,-0.082204,-0.030163,-0.003628,handle_loop,handle_loop,322,0.000000,-0.082204,-0.030163,-0.003628,left_hand,0.550763,608.230,341.953,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,622.411,348.746,15.724,0.079124,0.066217,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
7,0.250000,621.591,351.699,articraft_handle_mesh_nearest_active_hand,0.573474,3.861445,3.713842,0.147603,-0.048403,-0.021825,3.861445,-0.082870,-0.030760,-0.002595,handle_loop,handle_loop,321,0.000000,-0.082870,-0.030760,-0.002595,left_hand,0.573474,608.846,344.032,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp,direct_hand_grasp_point,1,0,0,621.591,351.699,14.874,0.107457,0.099134,0,active hand is near Articraft handle contact point,visible,left,none,handle,True,False,False,force_visible,0.95
8,0.291667,622.824,353.819,articraft_handle_mesh_nearest_active_hand,0.569942,3.832214,3.654944,0.177270,-0.044821,-0.016128,3.832214,-0.082870,-0.030760,-0.002595,handle_loop,handle_loop,321,0.000000,-0.082870,-0.030760,-0.002595,left_hand,0.569942,609.603,345.966,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,622.824,353.819,15.377,0.136629,0.129664,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
9,0.333333,624.160,355.144,articraft_handle_mesh_nearest_active_hand,0.577684,3.806679,3.639261,0.167418,-0.041058,-0.012586,3.806679,-0.082204,-0.030163,-0.003628,handle_loop,handle_loop,322,0.000000,-0.082204,-0.030163,-0.003628,left_hand,0.577684,610.159,347.825,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,624.160,355.144,15.799,0.163081,0.156926,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
10,0.375000,624.104,356.207,articraft_handle_mesh_nearest_active_hand,0.599145,3.788116,3.618851,0.169265,-0.041002,-0.009784,3.788116,-0.082204,-0.030163,-0.003628,handle_loop,handle_loop,322,0.000000,-0.082204,-0.030163,-0.003628,left_hand,0.599145,610.525,349.202,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,624.104,356.207,15.279,0.182542,0.177362,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
