query_id,case_name,stage,frame,start_frame,end_frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy,evidence_sha256,visual_factor_roles,contact_factor_roles,candidate_a_role,candidate_b_role,semantic_predicate,subject_entity,object_entity
stage1:single_entity_identity_check:00032-00036,pingpong_wall,stage1,34,32,36,1.375000,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00034_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00034_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,fd871cc3e40b68fbe319fd78dd396c8bd71556e4d67438d7fbd102d752263255,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00034-00038,pingpong_wall,stage1,36,34,38,1.458333,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00036_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00036_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,b1ddc43d20c24f67fa7397467bf6dde54e4dbabd807ff86795ce197b331bc1c4,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00137-00141,pingpong_wall,stage1,139,137,141,5.750000,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00139_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00139_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,fea3a8b88a90cbc3132a457834fd16b3409335caa21f6622a92b4f244f8c5c51,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00138-00142,pingpong_wall,stage1,140,138,142,5.791667,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00140_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00140_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,36d9a844b9ea9c70ba91deef5d9ef0ebe6eb22830cd77756c4a783027edc5d2d,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00139-00143,pingpong_wall,stage1,141,139,143,5.833333,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00141_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00141_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,8db522843c9da7433a7d12f11ffa3814bba2dd88bf5487515313c9cd7a5555b2,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00140-00144,pingpong_wall,stage1,142,140,144,5.875000,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00142_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00142_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,2e8607994fbeb571c728b69c085a4ed0a5859afea6300b3d59d6447b2ddfb7d9,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00142-00146,pingpong_wall,stage1,144,142,146,5.958333,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00144_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00144_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,0633081118b6afe242b5630c75d20b740264c6f910278d697c24a2c82feb2e93,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00143-00147,pingpong_wall,stage1,145,143,147,6.000000,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00145_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00145_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,644b4b1a9549764288d0a25c5d1813499a81df57f00487370ce0e27f1342792d,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00144-00148,pingpong_wall,stage1,146,144,148,6.041667,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00146_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00146_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,d99c4c53a62165b846de9fdd5f1f0fffad7f03aa185ac7dd3ab0ed16e035ca26,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
stage1:single_entity_identity_check:00145-00149,pingpong_wall,stage1,147,145,149,6.083333,single_entity_identity_check,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00147_single_entity_identity_check.png,samples_known_object/14_pingpong_wall/results/pingpong_stage0_audit/vlm/stage1/evidence/frame00147_single_entity_identity_check.png,five_frame_single_entity_candidate_strip,"The generated video may show duplicated white balls or motion-blur streaks. In the TARGET frame, which labeled candidate is the one physical ball that continues the same trajectory from earlier frames into later frames? A real ball may reverse only at a visible paddle or wall contact. Select occluded_or_blurred only if no labeled candidate is the physical ball. Do not treat multiple rendered copies as multiple entities.",candidate_a|candidate_b|candidate_c|candidate_d|occluded_or_blurred|unclear,case_config,physical_ball_candidate|duplicate_generation_artifact|motion_blur_streak|background|unclear,paddle_face|practice_wall|no_contact|unclear,forced_choice_gate_only_no_continuous_pose_or_loss,932b88b803f84d43a4ab94ca6a62c4796904a842f5386a7eae190fb0c8370c8f,point_reprojection|line_reprojection|mask_silhouette|metric_depth|depth_order,contact_distance|contact_relative_velocity|local_anchor_constancy,,,,,
