case_name,stage,frame,query_type,normalized_label,pass_gate,repair_action,allow_anchor_update,allow_contact_residual,allow_pose_refine,report_only,is_effective
football,stage4,2,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,2,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,46,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,46,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,242,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,242,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,1,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,1,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,122,anchor_update_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
football,stage4,122,temporal_motion_check,dry_run_not_evaluated,not_evaluated,none,0,0,0,0,0
