frame,time,human_contact_state,floor_contact_state,contact_label,phase
1,0.0,1,0,right_hand,continuous_grasp
2,0.041667,1,0,right_hand,continuous_grasp
3,0.083333,1,0,right_hand,continuous_grasp
4,0.125,1,0,right_hand,continuous_grasp
5,0.166667,1,0,right_hand,continuous_grasp
6,0.208333,1,0,right_hand,continuous_grasp
7,0.25,1,0,right_hand,continuous_grasp
8,0.291667,1,0,right_hand,continuous_grasp
9,0.333333,1,0,right_hand,continuous_grasp
10,0.375,1,0,right_hand,continuous_grasp
11,0.416667,1,0,right_hand,continuous_grasp
12,0.458333,1,0,right_hand,continuous_grasp
13,0.5,1,0,right_hand,continuous_grasp
14,0.541667,1,0,right_hand,continuous_grasp
15,0.583333,1,0,right_hand,continuous_grasp
16,0.625,1,0,right_hand,continuous_grasp
17,0.666667,1,0,right_hand,continuous_grasp
18,0.708333,1,0,right_hand,continuous_grasp
19,0.75,1,0,right_hand,continuous_grasp
20,0.791667,1,0,right_hand,continuous_grasp
21,0.833333,1,0,right_hand,continuous_grasp
22,0.875,1,0,right_hand,continuous_grasp
23,0.916667,1,0,right_hand,continuous_grasp
24,0.958333,1,0,right_hand,continuous_grasp
25,1.0,1,0,right_hand,continuous_grasp
26,1.041667,1,0,right_hand,continuous_grasp
27,1.083333,1,0,right_hand,continuous_grasp
28,1.125,1,0,right_hand,continuous_grasp
29,1.166667,1,0,right_hand,continuous_grasp
30,1.208333,1,0,right_hand,continuous_grasp
31,1.25,1,0,right_hand,continuous_grasp
32,1.291667,1,0,right_hand,continuous_grasp
33,1.333333,1,0,right_hand,continuous_grasp
34,1.375,1,0,right_hand,continuous_grasp
35,1.416667,1,0,right_hand,continuous_grasp
36,1.458333,1,0,right_hand,continuous_grasp
37,1.5,1,0,right_hand,continuous_grasp
38,1.541667,1,0,right_hand,continuous_grasp
39,1.583333,1,0,right_hand,continuous_grasp
40,1.625,1,0,right_hand,continuous_grasp
41,1.666667,1,0,right_hand,continuous_grasp
42,1.708333,1,0,right_hand,continuous_grasp
43,1.75,1,0,right_hand,continuous_grasp
44,1.791667,1,0,right_hand,continuous_grasp
45,1.833333,1,0,right_hand,continuous_grasp
46,1.875,1,0,right_hand,continuous_grasp
47,1.916667,1,0,right_hand,continuous_grasp
48,1.958333,1,0,right_hand,continuous_grasp
49,2.0,1,0,right_hand,continuous_grasp
50,2.041667,1,0,right_hand,continuous_grasp
51,2.083333,1,0,right_hand,continuous_grasp
52,2.125,1,0,right_hand,continuous_grasp
53,2.166667,1,0,right_hand,continuous_grasp
54,2.208333,1,0,right_hand,continuous_grasp
55,2.25,1,0,right_hand,continuous_grasp
56,2.291667,1,0,right_hand,continuous_grasp
57,2.333333,1,0,right_hand,continuous_grasp
58,2.375,1,0,right_hand,continuous_grasp
59,2.416667,1,0,right_hand,continuous_grasp
60,2.458333,1,0,right_hand,continuous_grasp
61,2.5,1,0,right_hand,continuous_grasp
62,2.541667,1,0,right_hand,continuous_grasp
63,2.583333,1,0,right_hand,continuous_grasp
64,2.625,1,0,right_hand,continuous_grasp
65,2.666667,1,0,right_hand,continuous_grasp
66,2.708333,1,0,right_hand,continuous_grasp
67,2.75,1,0,right_hand,continuous_grasp
68,2.791667,1,0,right_hand,continuous_grasp
69,2.833333,1,0,right_hand,continuous_grasp
70,2.875,1,0,right_hand,continuous_grasp
71,2.916667,1,0,right_hand,continuous_grasp
72,2.958333,1,0,right_hand,continuous_grasp
73,3.0,1,0,right_hand,continuous_grasp
74,3.041667,1,0,right_hand,continuous_grasp
75,3.083333,1,0,right_hand,continuous_grasp
76,3.125,1,0,right_hand,continuous_grasp
77,3.166667,1,0,right_hand,continuous_grasp
78,3.208333,1,0,right_hand,continuous_grasp
79,3.25,1,0,right_hand,continuous_grasp
80,3.291667,1,0,right_hand,continuous_grasp
81,3.333333,1,0,right_hand,continuous_grasp
82,3.375,1,0,right_hand,continuous_grasp
83,3.416667,1,0,right_hand,continuous_grasp
84,3.458333,1,0,right_hand,continuous_grasp
85,3.5,1,0,right_hand,continuous_grasp
86,3.541667,1,0,right_hand,continuous_grasp
87,3.583333,1,0,right_hand,continuous_grasp
88,3.625,1,0,right_hand,continuous_grasp
89,3.666667,1,0,right_hand,continuous_grasp
90,3.708333,1,0,right_hand,continuous_grasp
91,3.75,1,0,right_hand,continuous_grasp
92,3.791667,1,0,right_hand,continuous_grasp
93,3.833333,1,0,right_hand,continuous_grasp
94,3.875,1,0,right_hand,continuous_grasp
95,3.916667,1,0,right_hand,continuous_grasp
96,3.958333,1,0,right_hand,continuous_grasp
97,4.0,1,0,right_hand,continuous_grasp
98,4.041667,1,0,right_hand,continuous_grasp
99,4.083333,1,0,right_hand,continuous_grasp
100,4.125,1,0,right_hand,continuous_grasp
101,4.166667,1,0,right_hand,continuous_grasp
102,4.208333,1,0,right_hand,continuous_grasp
103,4.25,1,0,right_hand,continuous_grasp
104,4.291667,1,0,right_hand,continuous_grasp
105,4.333333,1,0,right_hand,continuous_grasp
106,4.375,1,0,right_hand,continuous_grasp
107,4.416667,1,0,right_hand,continuous_grasp
108,4.458333,1,0,right_hand,continuous_grasp
109,4.5,1,0,right_hand,continuous_grasp
110,4.541667,1,0,right_hand,continuous_grasp
111,4.583333,1,0,right_hand,continuous_grasp
112,4.625,1,0,right_hand,continuous_grasp
113,4.666667,1,0,right_hand,continuous_grasp
114,4.708333,1,0,right_hand,continuous_grasp
115,4.75,1,0,right_hand,continuous_grasp
116,4.791667,1,0,right_hand,continuous_grasp
117,4.833333,1,0,right_hand,continuous_grasp
118,4.875,1,0,right_hand,continuous_grasp
119,4.916667,1,0,right_hand,continuous_grasp
120,4.958333,1,0,right_hand,continuous_grasp
121,5.0,1,0,right_hand,continuous_grasp
122,5.041667,1,0,right_hand,continuous_grasp
123,5.083333,1,0,right_hand,continuous_grasp
124,5.125,1,0,right_hand,continuous_grasp
125,5.166667,1,0,right_hand,continuous_grasp
126,5.208333,1,0,right_hand,continuous_grasp
127,5.25,1,0,right_hand,continuous_grasp
128,5.291667,1,0,right_hand,continuous_grasp
129,5.333333,1,0,right_hand,continuous_grasp
