frame,refined_frame,time,refined_time,evidence,audio_support,fused_event_type,interaction_mode,contact_quality,contact_target,target_entity,vlm_relevant,vlm_interaction,vlm_impact,vlm_entities,vlm_confidence,manip_gamma,manip_weight,promote_anchor,vlm_description,window_png
3,3,0.08,0.18,audio,0.017,rattle,repetitive,soft,part,right_hand,1,rattle,medium,left_hand|basketball,0.8,1.0,0.5,0,"The player is holding the basketball, indicating a physical interaction related ",results/audio_semantics/vlm_windows/event_0003.png
11,11,0.416,0.4151,audio,0.39,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,The player is about to kick the basketball with their left foot.,results/audio_semantics/vlm_windows/event_0011.png
18,14,0.7083,0.5567,visual,0.236,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0018.png
24,24,0.952,0.9517,audio,0.442,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,"The player is dribbling the basketball, indicating a physical interaction betwee",results/audio_semantics/vlm_windows/event_0024.png
32,28,1.2917,1.1351,visual,0.135,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0032.png
37,37,1.484,1.4984,audio,0.481,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0037.png
42,42,1.728,1.6217,audio+visual,0.279,bounce,repetitive,hard,part,right_hand,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,1,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0042.png
51,51,2.088,2.0817,audio,0.461,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,The player is about to dribble the basketball.,results/audio_semantics/vlm_windows/event_0051.png
59,58,2.4167,2.3701,visual,0.185,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0059.png
64,64,2.632,2.6284,audio,0.521,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0064.png
